benchmark,model,prompt,trial,passed,failure_class,duration_s,latency_s,tokens
arith_adder8,reference-golden,direct,0,1,none,0.0023,0.116,259
arith_adder8,reference-golden,direct,1,1,none,0.0013,0.116,259
arith_adder8,reference-golden,direct,2,1,none,0.0012,0.116,259
arith_alu8,reference-golden,direct,0,1,none,0.0016,0.088,338
arith_alu8,reference-golden,direct,1,1,none,0.0013,0.088,338
arith_alu8,reference-golden,direct,2,1,none,0.0016,0.088,338
arith_cmp8,reference-golden,direct,0,1,none,0.0013,0.083,206
arith_cmp8,reference-golden,direct,1,1,none,0.0013,0.083,206
arith_cmp8,reference-golden,direct,2,1,none,0.0011,0.083,206
arith_mul8,reference-golden,direct,0,1,none,0.0013,0.124,199
arith_mul8,reference-golden,direct,1,1,none,0.0014,0.124,199
arith_mul8,reference-golden,direct,2,1,none,0.0012,0.124,199
comm_i2c_ctrl,reference-golden,direct,0,1,none,0.0017,0.097,421
comm_i2c_ctrl,reference-golden,direct,1,1,none,0.0013,0.097,421
comm_i2c_ctrl,reference-golden,direct,2,1,none,0.0013,0.097,421
comm_spi_master,reference-golden,direct,0,1,none,0.0012,0.139,456
comm_spi_master,reference-golden,direct,1,1,none,0.0011,0.139,456
comm_spi_master,reference-golden,direct,2,1,none,0.0015,0.139,456
comm_uart_tx,reference-golden,direct,0,1,none,0.0014,0.07,422
comm_uart_tx,reference-golden,direct,1,1,none,0.0012,0.07,422
comm_uart_tx,reference-golden,direct,2,1,none,0.0011,0.07,422
ctrl_debounce,reference-golden,direct,0,1,none,0.0012,0.11,305
ctrl_debounce,reference-golden,direct,1,1,none,0.0011,0.11,305
ctrl_debounce,reference-golden,direct,2,1,none,0.0013,0.11,305
ctrl_pwm,reference-golden,direct,0,1,none,0.0011,0.066,266
ctrl_pwm,reference-golden,direct,1,1,none,0.001,0.066,266
ctrl_pwm,reference-golden,direct,2,1,none,0.001,0.066,266
dsp_fir4,reference-golden,direct,0,1,none,0.001,0.111,311
dsp_fir4,reference-golden,direct,1,1,none,0.001,0.111,311
dsp_fir4,reference-golden,direct,2,1,none,0.001,0.111,311
dsp_movavg,reference-golden,direct,0,1,none,0.0011,0.097,309
dsp_movavg,reference-golden,direct,1,1,none,0.0011,0.097,309
dsp_movavg,reference-golden,direct,2,1,none,0.001,0.097,309
fsm_seqdet,reference-golden,direct,0,1,none,0.0012,0.054,324
fsm_seqdet,reference-golden,direct,1,1,none,0.001,0.054,324
fsm_seqdet,reference-golden,direct,2,1,none,0.0011,0.054,324
fsm_traffic,reference-golden,direct,0,1,none,0.0013,0.11,334
fsm_traffic,reference-golden,direct,1,1,none,0.0012,0.11,334
fsm_traffic,reference-golden,direct,2,1,none,0.001,0.11,334
mem_fifo,reference-golden,direct,0,1,none,0.0014,0.112,381
mem_fifo,reference-golden,direct,1,1,none,0.0011,0.112,381
mem_fifo,reference-golden,direct,2,1,none,0.0015,0.112,381
mem_regfile,reference-golden,direct,0,1,none,0.0012,0.101,324
mem_regfile,reference-golden,direct,1,1,none,0.0011,0.101,324
mem_regfile,reference-golden,direct,2,1,none,0.0013,0.101,324
mem_sync_ram,reference-golden,direct,0,1,none,0.0015,0.101,278
mem_sync_ram,reference-golden,direct,1,1,none,0.0016,0.101,278
mem_sync_ram,reference-golden,direct,2,1,none,0.0014,0.101,278
proc_alu_ctrl,reference-golden,direct,0,1,none,0.0013,0.13,345
proc_alu_ctrl,reference-golden,direct,1,1,none,0.0016,0.13,345
proc_alu_ctrl,reference-golden,direct,2,1,none,0.0013,0.13,345
proc_branch_pred,reference-golden,direct,0,1,none,0.0013,0.087,288
proc_branch_pred,reference-golden,direct,1,1,none,0.0012,0.087,288
proc_branch_pred,reference-golden,direct,2,1,none,0.0015,0.087,288
arith_adder8,synthetic-high,direct,0,1,none,0.0012,0.839,245
arith_adder8,synthetic-high,direct,1,1,none,0.0014,0.839,245
arith_adder8,synthetic-high,direct,2,1,none,0.0014,0.839,245
arith_alu8,synthetic-high,direct,0,1,none,0.0016,2.119,323
arith_alu8,synthetic-high,direct,1,1,none,0.0013,2.119,323
arith_alu8,synthetic-high,direct,2,1,none,0.0015,2.119,323
arith_cmp8,synthetic-high,direct,0,1,none,0.0015,1.271,191
arith_cmp8,synthetic-high,direct,1,1,none,0.0012,1.271,191
arith_cmp8,synthetic-high,direct,2,1,none,0.001,1.271,191
arith_mul8,synthetic-high,direct,0,1,none,0.0012,1.288,185
arith_mul8,synthetic-high,direct,1,1,none,0.0012,1.288,185
arith_mul8,synthetic-high,direct,2,1,none,0.0012,1.288,185
comm_i2c_ctrl,synthetic-high,direct,0,1,none,0.0019,2.113,405
comm_i2c_ctrl,synthetic-high,direct,1,1,none,0.0016,2.113,405
comm_i2c_ctrl,synthetic-high,direct,2,1,none,0.0014,2.113,405
comm_spi_master,synthetic-high,direct,0,1,none,0.0017,2.086,440
comm_spi_master,synthetic-high,direct,1,1,none,0.0022,2.086,440
comm_spi_master,synthetic-high,direct,2,1,none,0.0017,2.086,440
comm_uart_tx,synthetic-high,direct,0,1,none,0.0014,2.433,407
comm_uart_tx,synthetic-high,direct,1,1,none,0.0018,2.433,407
comm_uart_tx,synthetic-high,direct,2,1,none,0.0013,2.433,407
ctrl_debounce,synthetic-high,direct,0,1,none,0.0016,1.482,290
ctrl_debounce,synthetic-high,direct,1,1,none,0.0014,1.482,290
ctrl_debounce,synthetic-high,direct,2,1,none,0.0013,1.482,290
ctrl_pwm,synthetic-high,direct,0,1,none,0.0013,1.546,252
ctrl_pwm,synthetic-high,direct,1,1,none,0.0015,1.546,252
ctrl_pwm,synthetic-high,direct,2,1,none,0.0013,1.546,252
dsp_fir4,synthetic-high,direct,0,1,none,0.0014,2.285,298
dsp_fir4,synthetic-high,direct,1,1,none,0.0013,2.285,298
dsp_fir4,synthetic-high,direct,2,1,none,0.001,2.285,298
dsp_movavg,synthetic-high,direct,0,1,none,0.0013,1.462,294
