benchmark,model,prompt,trial,passed,failure_class,duration_s,latency_s,tokens
arith_adder8,rule-based,direct,0,0,no_code_generated,0.0089,0.0074,158
arith_alu8,rule-based,direct,0,1,none,0.0021,0.0005,591
arith_cmp8,rule-based,direct,0,1,none,0.0019,0.0003,277
arith_mul8,rule-based,direct,0,0,no_code_generated,0.0014,0.0002,142
comm_i2c_ctrl,rule-based,direct,0,0,no_code_generated,0.0012,0.0002,166
comm_spi_master,rule-based,direct,0,0,no_code_generated,0.0013,0.0002,156
comm_uart_tx,rule-based,direct,0,0,no_code_generated,0.0013,0.0002,176
ctrl_debounce,rule-based,direct,0,0,no_code_generated,0.0013,0.0002,150
ctrl_pwm,rule-based,direct,0,1,none,0.0023,0.0005,589
dsp_fir4,rule-based,direct,0,0,no_code_generated,0.0016,0.0002,156
dsp_movavg,rule-based,direct,0,0,no_code_generated,0.0012,0.0002,146
fsm_seqdet,rule-based,direct,0,0,no_code_generated,0.0013,0.0002,158
fsm_traffic,rule-based,direct,0,0,no_code_generated,0.0015,0.0002,169
mem_fifo,rule-based,direct,0,0,no_code_generated,0.0013,0.0002,148
mem_regfile,rule-based,direct,0,1,none,0.0018,0.0003,336
mem_sync_ram,rule-based,direct,0,1,none,0.0018,0.0005,327
proc_alu_ctrl,rule-based,direct,0,1,none,0.002,0.0007,591
proc_branch_pred,rule-based,direct,0,1,none,0.0016,0.0003,368
arith_adder8,synthetic-high,direct,0,1,none,0.0012,0.839,245
arith_alu8,synthetic-high,direct,0,1,none,0.0016,2.119,323
arith_cmp8,synthetic-high,direct,0,1,none,0.001,1.271,191
arith_mul8,synthetic-high,direct,0,1,none,0.0011,1.288,185
comm_i2c_ctrl,synthetic-high,direct,0,1,none,0.0013,2.113,405
comm_spi_master,synthetic-high,direct,0,1,none,0.0013,2.086,440
comm_uart_tx,synthetic-high,direct,0,1,none,0.0012,2.433,407
ctrl_debounce,synthetic-high,direct,0,1,none,0.0013,1.482,290
ctrl_pwm,synthetic-high,direct,0,1,none,0.0012,1.546,252
dsp_fir4,synthetic-high,direct,0,1,none,0.0017,2.285,298
dsp_movavg,synthetic-high,direct,0,1,none,0.0013,1.462,294
fsm_seqdet,synthetic-high,direct,0,1,none,0.0013,2.207,308
fsm_traffic,synthetic-high,direct,0,1,none,0.0015,1.994,317
mem_fifo,synthetic-high,direct,0,1,none,0.0017,1.747,367
mem_regfile,synthetic-high,direct,0,1,none,0.0014,1.466,309
mem_sync_ram,synthetic-high,direct,0,1,none,0.0012,1.776,203
proc_alu_ctrl,synthetic-high,direct,0,1,none,0.0012,1.383,329
proc_branch_pred,synthetic-high,direct,0,1,none,0.0011,1.753,204
arith_adder8,reference-golden,direct,0,1,none,0.0013,0.116,259
arith_alu8,reference-golden,direct,0,1,none,0.0017,0.088,338
arith_cmp8,reference-golden,direct,0,1,none,0.0012,0.083,206
arith_mul8,reference-golden,direct,0,1,none,0.0012,0.124,199
comm_i2c_ctrl,reference-golden,direct,0,1,none,0.0016,0.097,421
comm_spi_master,reference-golden,direct,0,1,none,0.0016,0.139,456
comm_uart_tx,reference-golden,direct,0,1,none,0.0013,0.07,422
ctrl_debounce,reference-golden,direct,0,1,none,0.0012,0.11,305
ctrl_pwm,reference-golden,direct,0,1,none,0.0012,0.066,266
dsp_fir4,reference-golden,direct,0,1,none,0.0012,0.111,311
dsp_movavg,reference-golden,direct,0,1,none,0.0013,0.097,309
fsm_seqdet,reference-golden,direct,0,1,none,0.0012,0.054,324
fsm_traffic,reference-golden,direct,0,1,none,0.0016,0.11,334
mem_fifo,reference-golden,direct,0,1,none,0.0013,0.112,381
mem_regfile,reference-golden,direct,0,1,none,0.0014,0.101,324
mem_sync_ram,reference-golden,direct,0,1,none,0.0016,0.101,278
proc_alu_ctrl,reference-golden,direct,0,1,none,0.0012,0.13,345
proc_branch_pred,reference-golden,direct,0,1,none,0.0011,0.087,288
